epoch:0
Wed Oct 28 01:49:11 2020 Epoch 0, lr: 0.0010000, val loss: 118.90921, acc: 58.60000
Wed Oct 28 01:49:30 2020 Epoch 1, lr: 0.0010000, val loss: 87.35475, acc: 70.25000
Wed Oct 28 01:49:49 2020 Epoch 2, lr: 0.0010000, val loss: 80.21718, acc: 72.61000
Wed Oct 28 01:50:16 2020 Epoch 3, lr: 0.0010000, val loss: 64.91081, acc: 78.19000
Wed Oct 28 01:50:53 2020 Epoch 4, lr: 0.0010000, val loss: 58.25699, acc: 80.36000
Wed Oct 28 01:51:30 2020 Epoch 5, lr: 0.0010000, val loss: 48.68425, acc: 84.14000
Wed Oct 28 01:52:07 2020 Epoch 6, lr: 0.0010000, val loss: 53.80388, acc: 82.70000
Wed Oct 28 01:52:45 2020 Epoch 7, lr: 0.0010000, val loss: 41.47698, acc: 85.79000
Wed Oct 28 01:53:22 2020 Epoch 8, lr: 0.0010000, val loss: 42.50140, acc: 85.42000
Wed Oct 28 01:53:59 2020 Epoch 9, lr: 0.0010000, val loss: 44.76749, acc: 85.55000
Wed Oct 28 01:54:36 2020 Epoch 10, lr: 0.0010000, val loss: 37.57323, acc: 87.38000
Wed Oct 28 01:55:13 2020 Epoch 11, lr: 0.0010000, val loss: 36.98403, acc: 87.91000
Wed Oct 28 01:55:50 2020 Epoch 12, lr: 0.0010000, val loss: 43.49086, acc: 86.18000
Wed Oct 28 01:56:27 2020 Epoch 13, lr: 0.0010000, val loss: 37.91397, acc: 87.79000
Wed Oct 28 01:57:04 2020 Epoch 14, lr: 0.0010000, val loss: 38.68858, acc: 87.64000
Wed Oct 28 01:57:42 2020 Epoch 15, lr: 0.0010000, val loss: 35.02082, acc: 89.31000
Wed Oct 28 01:58:19 2020 Epoch 16, lr: 0.0010000, val loss: 38.61485, acc: 88.27000
Wed Oct 28 01:58:55 2020 Epoch 17, lr: 0.0010000, val loss: 34.67143, acc: 89.52000
Wed Oct 28 01:59:20 2020 Epoch 18, lr: 0.0010000, val loss: 34.27875, acc: 89.72000
Wed Oct 28 01:59:49 2020 Epoch 19, lr: 0.0010000, val loss: 35.57404, acc: 89.55000
Wed Oct 28 02:00:27 2020 Epoch 20, lr: 0.0010000, val loss: 34.90507, acc: 89.82000
Wed Oct 28 02:00:54 2020 Epoch 21, lr: 0.0010000, val loss: 32.06855, acc: 90.63000
Wed Oct 28 02:01:25 2020 Epoch 22, lr: 0.0010000, val loss: 34.56692, acc: 90.49000
Wed Oct 28 02:02:02 2020 Epoch 23, lr: 0.0010000, val loss: 37.21982, acc: 90.03000
Wed Oct 28 02:02:40 2020 Epoch 24, lr: 0.0010000, val loss: 33.62259, acc: 91.13000
Wed Oct 28 02:03:16 2020 Epoch 25, lr: 0.0010000, val loss: 33.70737, acc: 90.56000
Wed Oct 28 02:03:54 2020 Epoch 26, lr: 0.0001000, val loss: 34.69689, acc: 91.27000
Wed Oct 28 02:04:31 2020 Epoch 27, lr: 0.0001000, val loss: 28.49893, acc: 92.42000
Wed Oct 28 02:05:08 2020 Epoch 28, lr: 0.0001000, val loss: 28.81415, acc: 92.77000
Wed Oct 28 02:05:46 2020 Epoch 29, lr: 0.0001000, val loss: 29.26207, acc: 92.73000
Wed Oct 28 02:06:23 2020 Epoch 30, lr: 0.0001000, val loss: 30.33475, acc: 92.77000
Wed Oct 28 02:07:00 2020 Epoch 31, lr: 0.0001000, val loss: 31.09149, acc: 92.78000
Wed Oct 28 02:07:37 2020 Epoch 32, lr: 0.0000100, val loss: 31.47846, acc: 92.86000
Wed Oct 28 02:08:14 2020 Epoch 33, lr: 0.0000100, val loss: 31.23287, acc: 92.79000
Wed Oct 28 02:08:51 2020 Epoch 34, lr: 0.0000100, val loss: 32.13335, acc: 92.86000
Wed Oct 28 02:09:28 2020 Epoch 35, lr: 0.0000100, val loss: 31.42652, acc: 92.88000
Wed Oct 28 02:10:05 2020 Epoch 36, lr: 0.0000100, val loss: 31.88379, acc: 92.85000
Wed Oct 28 02:10:43 2020 Epoch 37, lr: 0.0000010, val loss: 31.71775, acc: 92.73000
Wed Oct 28 02:11:19 2020 Epoch 38, lr: 0.0000010, val loss: 31.56442, acc: 93.00000
Wed Oct 28 02:11:56 2020 Epoch 39, lr: 0.0000010, val loss: 31.77023, acc: 93.01000
Wed Oct 28 02:12:33 2020 Epoch 40, lr: 0.0000010, val loss: 31.19953, acc: 92.92000
Wed Oct 28 02:13:10 2020 Epoch 41, lr: 0.0000010, val loss: 31.44710, acc: 92.97000
Sun Jan 15 11:57:27 2023 Epoch 0, lr: 0.0001000, val loss: 89.91566, acc: 15.20000
Sun Jan 15 11:58:41 2023 Epoch 1, lr: 0.0000500, val loss: 88.69112, acc: 17.45000
Sun Jan 15 12:04:10 2023 Epoch 1, lr: 0.0000000, val loss: 95.37057, acc: 10.51000
Sun Jan 15 12:12:26 2023 Epoch 1, lr: 0.0000000, val loss: 94.28650, acc: 9.37000
Sun Jan 15 12:13:36 2023 Epoch 2, lr: 0.0000000, val loss: 94.28787, acc: 9.35000
Sun Jan 15 12:16:38 2023 Epoch 1, lr: 0.0001000, val loss: 90.24383, acc: 15.38000
Sun Jan 15 12:17:53 2023 Epoch 2, lr: 0.0000750, val loss: 89.09041, acc: 16.82000
Sun Jan 15 12:27:27 2023 Epoch 0, lr: 0.0001000, val loss: 89.86641, acc: 14.86000
Sun Jan 15 12:28:31 2023 Epoch 1, lr: 0.0000500, val loss: 88.88394, acc: 16.98000
Sun Jan 15 12:30:40 2023 Epoch 1, lr: 0.0000000, val loss: 88.92866, acc: 16.89000
Sun Jan 15 12:31:44 2023 Epoch 2, lr: 0.0000000, val loss: 88.99001, acc: 16.52000
Sun Jan 15 12:35:26 2023 Epoch 1, lr: 0.0000000, val loss: 88.92658, acc: 16.88000
Sun Jan 15 12:36:28 2023 Epoch 2, lr: 0.0000000, val loss: 88.98431, acc: 16.62000
Sun Jan 15 12:39:36 2023 Epoch 1, lr: 0.0000000, val loss: 88.89873, acc: 16.82000
Sun Jan 15 12:40:38 2023 Epoch 2, lr: 0.0000000, val loss: 89.02183, acc: 16.49000
Sun Jan 15 12:41:40 2023 Epoch 3, lr: 0.0000000, val loss: 89.01063, acc: 16.56000
Sun Jan 15 12:48:39 2023 Epoch 0, lr: 0.0001000, val loss: 90.83391, acc: 14.88000
Sun Jan 15 12:50:43 2023 Epoch 0, lr: 0.1000000, val loss: 244.31846, acc: 19.66000
Sun Jan 15 12:54:05 2023 Epoch 0, lr: 0.1000000, val loss: 400.38601, acc: 14.76000
Sun Jan 15 13:02:41 2023 Epoch 0, lr: 0.0001000, val loss: 90.89617, acc: 12.33000
Sun Jan 15 13:03:41 2023 Epoch 1, lr: 0.0000854, val loss: 89.81720, acc: 14.98000
